John's Carts - Last updated 2/20/99

Notes:

There are 2 basic formats for each cart listing.  For systems that
come with overlays standard (like the Intellivision), the columns are:
  Title - Rarity - Boxes - Docs - Overlays - Comments
For systems with no expected overlays (i.e. the 2600), the columns are:
  Title - Rarity - Boxes - Docs - Comments

The rarity rating is taken straight from the Digital Press video game
collector's guide.  Note that this rating is based on a bare cart.

Keep in mind, this is a list of stuff that's in my collection.  I have
another list of stuff that's up for trade.  This stuff can be traded
for if you really want it, as I'm just that kind of guy. If you're
interested in trading something, feel free to email me at
jcook@earthling.net (that's earthlinG, not earthlinK).
===============================================
 
Emerson Arcadia 2001 Carts 
Title                                   R B D Comment
----------------------------------------------------------------------
#1 Cat Trax                             3 1 1 Sealed                                                                                                                                                                                                                                                         
#15 Baseball                            3 1 1 Opened, but shrinkwrap is still around box                                                                                                                                                                                                                     
#2 Space Attack                         3 1 1 Sealed                                                                                                                                                                                                                                                         
#20 Tanks A Lot                         3 1 1 Sealed                                                                                                                                                                                                                                                         
#3 Escape                               3 1 1 Sealed                                                                                                                                                                                                                                                         
#5 Space Raiders                        3 1 1 Sealed                                                                                                                                                                                                                                                         
+++ 
 
Atari 2600 Carts 
Title                                   R B D Comment
----------------------------------------------------------------------
3D Tic-Tac-Toe                          2 0 0 Atari                                                                                                                                                                                                                                                          
Adventure                               1 0 0 Atari                                                                                                                                                                                                                                                          
Air Raiders                             2 0 0                                                                                                                                                                                                                                                                
Air-Sea Battle                          1 0 0                                                                                                                                                                                                                                                                
Airlock                                 2 0 0                                                                                                                                                                                                                                                                
Alien                                   3 0 0                                                                                                                                                                                                                                                                
Amidar                                  2 0 0                                                                                                                                                                                                                                                                
Armor Ambush                            2 0 0                                                                                                                                                                                                                                                                
Asteroids                               3 0 0 Sears (66)                                                                                                                                                                                                                                                     
Asteroids                               3 0 0 Sears (64)                                                                                                                                                                                                                                                     
Asteroids                               1 0 0 Atari                                                                                                                                                                                                                                                          
Astroblast                              2 0 0                                                                                                                                                                                                                                                                
Atlantis                                2 0 0 Imagic                                                                                                                                                                                                                                                         
